0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:10 +0900] "GET /mytest04/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:10 +0900] "GET /mytest04/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:10 +0900] "GET /mytest04/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/admin/member/adminMemberMain.do HTTP/1.1" 200 47756
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/imgs/notice_h2.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:13 +0900] "GET /mytest04/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:41 +0900] "POST /mytest04/admin/member/memberDetail.do HTTP/1.1" 200 41356
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:41 +0900] "GET /mytest04/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Feb/2023:16:54:41 +0900] "GET /mytest04/resources/css/smartphone.css HTTP/1.1" 404 721
